"Climate Frogs Online Translation Calc","French (original)",English
"Thanks for translating my comic !",,
"Credits for translation and correctors","Camille Bissuel, Sophie Bissuel","Camille Bissuel, Allen Martsch"
,,
"It's a One shot, ebook ;)",http://nylnook.com/fr/bd/climat-grenouilles/,http://nylnook.com/en/comics/climate-frogs/
Title,"Le changement  climatique expliqué aux grenouilles, aux crapauds, aux batraciens en général, et à tous les terriens qui pourraient se sentir éventuellement un peu concernés","Climate Change Explained to Frogs, to Toads, to Batrachians Generally, and All Earthlings Who Might Feel a Little Concerned"
tags,"climat, grenouilles, bd, cop21, changement climatique, creative commons","comics, graphic novel, climate, climate change, creative commons, libre, free"
description,"Tout le monde en parle, mais vous n'avez pas vraiment compris le problème : au juste, qu'est-ce que c'est que ce fameux changement climatique ?  Ou au contraire, vous avez tout compris, mais vous désespérez de le faire comprendre à vos amis, car ça leur passe complètement au-dessus... ?  Mettez-vous dans la peau d'une grenouille, plongez dans la casserole, tout deviendra plus clair... et plus chaud !  Cette petite bande dessinée de 8 pages résume de façon scientifiquement inexacte et approximative, en exagérant juste un tout petit peu, ce qu'il faut comprendre de cet enjeu, juste un peu crucial pour notre avenir !  Tout le monde n'est pas climatologue. Et comme le constate le Guardian , « La plupart des gens comprennent le monde à travers des histoires et des images, pas des listes de nombres, des analyses statistiques ou des graphes techniques, et il est donc crucial de trouver des façons de traduire et d'interpréter le jargon technique des rapports scientifiques en quelque chose de plus engageant ».","Everyone talks about it, but you don't really get the problem exactly, what is this famous climate change?  Or, on the contrary, you understood everything, but you despair to make it clear to your friends, because they don't give a damn?  Put yourself in the skin of a frog, dive into the pot, everything will become clearer ... and hotter!  This short 8 pages comic summarizes, in a scientifically inaccurate and approximate way, exaggerating just a little bit, what you need to understand about this just-a-little-critical-for-our-future issue!  Everyone is not a climatologist. As noted by the Guardian, ""Most people understand the world through stories and images, not lists of numbers, probability statements or technical graphs, and so it is crucial to find ways of translating and interpreting the technical language found in scientific reports into something more engaging."""
ISBN,979-10-95663-00-3,979-10-95663-01-0
author,Nylnook,Nylnook
"page 2","Dans une grande casserole,  il y avait trois grenouilles :","In a large pot, there were three frogs:"
,"la Terre",Earth
,"une grenouille occidentale, qui s'appelait Burt","a Western frog named Burt"
,"une grenouille « émergente »,      qui s'appelait Fu","an ""Emerging"" frog    named Fu"
,"  et une grenouille du Sud, qui s'appelait Dodji","and a Southern frog named Dodji"
,SNAP,SNAP
,biodiversité,biodiversity
,"Après la nuit, les grenouilles étaient enfin libres et égales en droit,","After a long night, frogs were finally free and equal in law,"
,"et les mouches étaient abondantes,","and flies were abundant,"
,"bien qu’inégalement réparties.","although unevenly distributed."
,1850,1850
,"Ce matin-là, il faisait plutôt bon vivre dans la casserole.","That morning, life was rather good in the pot."
"page 3","Mais Burt trouva le bouton du gaz, et il se dit qu’il avait bien droit au confort moderne.","But Burt found the gas button, and said to himself that he was well entitled to modern comfort."
,"énergies fossiles","fossil fuels"
,"Il y prit goût, sans prendre garde qu’une petite pellicule de gaz et de vapeur d’eau commençait à former un couvercle sur la casserole.","He started to enjoy it, not   noticing a small film of gas and water vapor starting to form a lid on the pan."
,"H2O, CO2, CH4 ...","H2O, CO2, CH4 ..."
,atmosphère,atmosphere
,1960,1960
,"Ça faisait envie à Fu et il se mit à vendre à Burt tout un tas de gadgets en échange de confort moderne, parce que lui aussi il y avait droit.","That tempted Fu and he began to sell Burt a whole lot of gadgets in exchange for modern comfort, because he  was entitled too."
,"Fu engagea Dodji pour faire les incessants allers-retours de gadgets entre lui et Burt, contre le très équitable droit à un meilleur accès aux mouches.","Then Fu hired Dodji to run endless gadgets between Burt and himself. Dodji having to earn the right to flies that were out of his reach before."
,mondialisation,globalization
"page 4",transports,transports
,"Mais les usines à gadgets avaient besoin de gaz, et les déplacements de Dodji créaient encore plus de vapeur d'eau.","But the gadget factories needed gas, and Dodji's travels created even more water vapor."
,industrialisation,industrialization
,"Le gaz était donc de plus en plus fort et le couvercle de plus en plus épais. Il faisait très progressivement de plus en plus chaud.","The gas got stronger and stronger, which made the lid thicker and thicker. The water gradually got warmer and warmer.  "
,"effet de serre","greenhouse effect"
,"Burt s'est bien dit que ça pourrait peut-être être un problème, ","Burt told himself it might be a problem,"
,"ou le GIEC","or IPCC"
,"mais il aimait l'eau chaude.","but he enjoyed hot water."
